cycle_id,tooth_type,cutting_edge,metric_name,metric_value
30,side,1,vbmax,0.2865
30,side,1,vb_half_ap,0.2686
30,side,1,wear_area,0.1442
30,side,2,vbmax,0.2836
30,side,2,vb_half_ap,0.1974
30,side,2,wear_area,0.26139999999999997
30,side,3,vbmax,0.2386
30,side,3,vb_half_ap,0.2063
30,side,3,wear_area,0.11850000000000002
30,side,4,vbmax,0.2268
30,side,4,vb_half_ap,0.2103
30,side,4,wear_area,0.0781
31,side,1,vbmax,0.2805
31,side,1,vb_half_ap,0.2089
31,side,1,wear_area,0.1555
31,side,2,vbmax,0.209
31,side,2,vb_half_ap,0.209
31,side,2,wear_area,0.3727
31,side,3,vbmax,0.3104
31,side,3,vb_half_ap,0.2805
31,side,3,wear_area,0.1265
31,side,4,vbmax,0.1611
31,side,4,vb_half_ap,0.1376
31,side,4,wear_area,0.06919999999999998
32,side,1,vbmax,0.2622
32,side,1,vb_half_ap,0.2507
32,side,1,wear_area,0.1519
32,side,2,vbmax,0.1195
32,side,2,vb_half_ap,0.06
32,side,2,wear_area,0.2587
32,side,3,vbmax,0.1914
32,side,3,vb_half_ap,0.1314
32,side,3,wear_area,0.10020000000000001
32,side,4,vbmax,0.1431
32,side,4,vb_half_ap,0.1373
32,side,4,wear_area,0.0744
33,side,1,vbmax,0.3581
33,side,1,vb_half_ap,0.3168
33,side,1,wear_area,0.1725
33,side,2,vbmax,0.1301
33,side,2,vb_half_ap,0.0957
33,side,2,wear_area,0.2817
33,side,3,vbmax,0.2388
33,side,3,vb_half_ap,0.2388
33,side,3,wear_area,0.067
33,side,4,vbmax,0.2572
33,side,4,vb_half_ap,0.2627
33,side,4,wear_area,0.09969999999999998
34,side,1,vbmax,0.2268
34,side,1,vb_half_ap,0.2215
34,side,1,wear_area,0.12290000000000001
34,side,2,vbmax,0.1022
34,side,2,vb_half_ap,0.0785
34,side,2,wear_area,0.4056
34,side,3,vbmax,0.2209
34,side,3,vb_half_ap,0.2149
34,side,3,wear_area,0.10840000000000002
34,side,4,vbmax,0.2924
34,side,4,vb_half_ap,0.2387
34,side,4,wear_area,0.1347
35,side,1,vbmax,0.2089
35,side,1,vb_half_ap,0.209
35,side,1,wear_area,0.09460000000000002
35,side,2,vbmax,0.2081
35,side,2,vb_half_ap,0.1911
35,side,2,wear_area,0.26
35,side,3,vbmax,0.1492
35,side,3,vb_half_ap,0.1313
35,side,3,wear_area,0.0424
35,side,4,vbmax,0.1433
35,side,4,vb_half_ap,0.1404
35,side,4,wear_area,0.026699999999999995
36,side,1,vbmax,0.2071
36,side,1,vb_half_ap,0.1731
36,side,1,wear_area,0.08610000000000001
36,side,2,vbmax,0.1558
36,side,2,vb_half_ap,0.1314
36,side,2,wear_area,0.3528
36,side,3,vbmax,0.1553
36,side,3,vb_half_ap,0.1493
36,side,3,wear_area,0.06670000000000001
36,side,4,vbmax,0.2269
36,side,4,vb_half_ap,0.1732
36,side,4,wear_area,0.08459999999999998
37,side,1,vbmax,0.2924
37,side,1,vb_half_ap,0.2985
37,side,1,wear_area,0.0817
37,side,2,vbmax,0.1122
37,side,2,vb_half_ap,0.1259
37,side,2,wear_area,0.2608
37,side,3,vbmax,0.0811
37,side,3,vb_half_ap,0.0785
37,side,3,wear_area,0.02530000000000001
37,side,4,vbmax,0.1616
37,side,4,vb_half_ap,0.1611
37,side,4,wear_area,0.0713
38,side,1,vbmax,0.2805
38,side,1,vb_half_ap,0.1552
38,side,1,wear_area,0.1349
38,side,2,vbmax,0.1439
38,side,2,vb_half_ap,0.1552
38,side,2,wear_area,0.2719
38,side,3,vbmax,0.1675
38,side,3,vb_half_ap,0.1434
38,side,3,wear_area,0.0824
38,side,4,vbmax,0.1497
38,side,4,vb_half_ap,0.1432
38,side,4,wear_area,0.0731
39,side,1,vbmax,0.1255
39,side,1,vb_half_ap,0.1149
39,side,1,wear_area,0.04639999999999999
39,side,2,vbmax,0.148
39,side,2,vb_half_ap,0.1318
39,side,2,wear_area,0.2764
39,side,3,vbmax,0.1672
39,side,3,vb_half_ap,0.1556
39,side,3,wear_area,0.034999999999999996
39,side,4,vbmax,0.1493
39,side,4,vb_half_ap,0.1253
39,side,4,wear_area,0.030099999999999995
40,side,1,vbmax,0.1592
40,side,1,vb_half_ap,0.1671
40,side,1,wear_area,0.05229999999999999
40,side,2,vbmax,0.1855
40,side,2,vb_half_ap,0.2507
40,side,2,wear_area,0.3331
40,side,3,vbmax,0.1621
40,side,3,vb_half_ap,0.1374
40,side,3,wear_area,0.0482
40,side,4,vbmax,0.1552
40,side,4,vb_half_ap,0.1493
40,side,4,wear_area,0.050300000000000004
41,side,1,vbmax,0.2388
41,side,1,vb_half_ap,0.2149
41,side,1,wear_area,0.0701
41,side,2,vbmax,0.3165
41,side,2,vb_half_ap,0.3282
41,side,2,wear_area,0.3811
41,side,3,vbmax,0.2986
41,side,3,vb_half_ap,0.2761
41,side,3,wear_area,0.0801
41,side,4,vbmax,0.2572
